model,n,chd_auc_mean,chd_auc_sd,chd_auprc_mean,chd_auprc_sd,macro_auc_mean,macro_auc_sd,macro_auprc_mean,macro_auprc_sd
moment_small,3,0.7217414908474549,0.0004928723327703027,0.298817193820246,0.00034857189966782434,0.7021953996413769,0.0008829821411758707,0.20539915644518114,0.001198542851375279
normwear,3,0.7184903377137908,0.001834407335344546,0.28262901284205055,0.0010145886630890685,0.7123047209697644,0.00024299585198308022,0.2137350107108796,0.0005157016668363284
papagei_s,3,0.7017662733786713,0.0038685821431404194,0.25941245692568965,0.0033519433582685815,0.6800685867218269,0.009150400795804653,0.18873776951932675,0.005174226972797555
physiov2_ppg,3,0.7694582240291092,0.001163244668957994,0.33701534190332283,0.004806503471584024,0.7289758993287044,0.002441255076845819,0.215608534759221,0.0019448317023036217
pulse_ppg,3,0.7028064766120042,0.0022431335287972777,0.2784877235295422,0.006069546420468419,0.6958829287303226,0.005905511667387513,0.20639467843825746,0.007100338675856347
units_x128,3,0.7206557010182388,0.0010791955756754253,0.2797329349439593,0.002703522161970458,0.6981033159664226,0.0035603423827463873,0.1920189826386144,0.0015675950614257646
